View Restaurants List, 05-05-2021 19:38:06
See Jerry's Pizza Menu, 05-05-2021 19:38:10
Add Item to Order, 05-05-2021 19:38:16
Finish Order, 05-05-2021 19:38:22
View Cart, 05-05-2021 19:38:22
View Profile, 28-05-2021 10:10:20, main
View Restaurants List, 28-05-2021 10:10:31, main
View Restaurants List, 28-05-2021 10:14:24, main
View Restaurants List, 28-05-2021 10:21:08, main
See McDonald's Menu, 28-05-2021 10:21:12, main
View Restaurants List, 28-05-2021 10:28:11, main
See McDonald's Menu, 28-05-2021 10:28:15, main
View Restaurants List, 28-05-2021 10:29:45, main
See McDonald's Menu, 28-05-2021 10:29:50, main
View Restaurants List, 28-05-2021 10:31:15, main
See McDonald's Menu, 28-05-2021 10:31:18, main
View Cart, 28-05-2021 10:31:20, main
Add Item to Order, 28-05-2021 10:31:26, main
View Restaurants List, 28-05-2021 10:33:57, main
See McDonald's Menu, 28-05-2021 10:34:00, main
Add Item to Order, 28-05-2021 10:34:06, main
View Restaurants List, 28-05-2021 10:38:23, main
See McDonald's Menu, 28-05-2021 10:38:26, main
Add Item to Order, 28-05-2021 10:38:32, main
View Restaurants List, 28-05-2021 10:39:33, main
See McDonald's Menu, 28-05-2021 10:39:37, main
Add Item to Order, 28-05-2021 10:39:42, main
View Restaurants List, 28-05-2021 10:41:06, main
See McDonald's Menu, 28-05-2021 10:41:10, main
Add Item to Order, 28-05-2021 10:41:15, main
View Restaurants List, 28-05-2021 10:52:36, main
See McDonald's Menu, 28-05-2021 10:52:40, main
Add Item to Order, 28-05-2021 10:52:47, main
Apply Voucher, 28-05-2021 10:52:56, main
View Restaurants List, 28-05-2021 10:58:04, main
See McDonald's Menu, 28-05-2021 10:58:07, main
Add Item to Order, 28-05-2021 10:58:18, main
Apply Voucher, 28-05-2021 10:58:28, main
View Restaurants List, 28-05-2021 11:01:02, main
See McDonald's Menu, 28-05-2021 11:01:05, main
Add Item to Order, 28-05-2021 11:01:09, main
Apply Voucher, 28-05-2021 11:01:17, main
View Restaurants List, 28-05-2021 11:02:35, main
See McDonald's Menu, 28-05-2021 11:02:40, main
Add Item to Order, 28-05-2021 11:02:46, main
Apply Voucher, 28-05-2021 11:02:55, main
View Restaurants List, 28-05-2021 11:06:45, main
See McDonald's Menu, 28-05-2021 11:06:47, main
Add Item to Order, 28-05-2021 11:06:53, main
Apply Voucher, 28-05-2021 11:07:01, main
Finish Order, 28-05-2021 11:07:01, main
View Cart, 28-05-2021 11:07:01, main
Search Restaurant, 28-05-2021 11:07:14, main
